date,year,season,companyCode,companyName,genre,EPS,shareValue,revenue,netIncome,comprehensiveIcome,IncomeAfterTax
"1120101","111","3","2459","敦吉科技股份有限公司","其他電子業","4.53","新台幣                 10.0000元","5808136.00","702854.00","96107.00","554037.00"
"1120101","111","3","2460","建通精密工業股份有限公司","電子零組件業","-0.23","新台幣                 10.0000元","2228994.00","-161600.00","94071.00","-37835.00"
"1120101","111","3","2461","光群雷射科技股份有限公司","其他電子業","1.43","新台幣                 10.0000元","4875628.00","10239.00","131390.00","100098.00"
"1120101","111","3","2462","台灣良得電子股份有限公司","電子零組件業","0.70","新台幣                 10.0000元","3639446.00","-33561.00","163772.00","99562.00"
"1120101","111","3","2464","盟立自動化股份有限公司","其他電子業","2.49","新台幣                 10.0000元","8042931.00","306352.00","257682.00","493780.00"
"1120101","111","3","2465","麗臺科技股份有限公司","電腦及週邊設備業","-1.79","新台幣                 10.0000元","4227368.00","-49682.00","-49877.00","-105537.00"
"1120101","111","3","2466","冠西電子企業股份有限公司","光電業","0.55","新台幣                 10.0000元","1184649.00","82089.00","11397.00","89023.00"
"1120101","111","3","2467","志聖工業股份有限公司","電子零組件業","3.72","新台幣                 10.0000元","4093663.00","524409.00","244042.00","630233.00"
"1120101","111","3","2468","華經資訊企業股份有限公司","資訊服務業","0.66","新台幣                 10.0000元","1618603.00","40500.00","16785.00","46292.00"
"1120101","111","3","2471","資通電腦股份有限公司","資訊服務業","2.19","新台幣                 10.0000元","573423.00","53880.00","70665.00","103418.00"
"1120101","111","3","2472","立隆電子工業股份有限公司","電子零組件業","6.35","新台幣                 10.0000元","7954588.00","1577919.00","330241.00","1453490.00"
"1120101","111","3","2474","可成科技股份有限公司","其他電子業","14.70","新台幣                 10.0000元","21174409.00","3611613.00","12640509.00","10609886.00"
"1120101","111","3","2476","鉅祥企業股份有限公司","電子零組件業","3.77","新台幣                 10.0000元","5062054.00","796748.00","283614.00","806862.00"
"1120101","111","3","2477","美隆工業股份有限公司","其他電子業","0.55","新台幣                 10.0000元","2813961.00","20587.00","259178.00","106231.00"
"1120101","111","3","2478","大毅科技股份有限公司","電子零組件業","4.12","新台幣                 10.0000元","3855251.00","468666.00","232661.00","599700.00"
"1120101","111","3","2480","敦陽科技股份有限公司","資訊服務業","5.03","新台幣                 10.0000元","4870642.00","574569.00","82848.00","535226.00"
"1120101","111","3","2481","強茂股份有限公司","半導體業","4.21","新台幣                 10.0000元","10369798.00","1421546.00","513659.00","1608691.00"
"1120101","111","3","2482","連宇股份有限公司","其他電子業","2.15","新台幣                 10.0000元","808997.00","86669.00","120580.00","155391.00"
"1120101","111","3","2483","百容電子股份有限公司","電子零組件業","1.54","新台幣                 10.0000元","1738357.00","99884.00","119793.00","170381.00"
"1120101","111","3","2484","希華晶體科技股份有限公司","電子零組件業","4.26","新台幣                 10.0000元","2590003.00","643268.00","223605.00","678289.00"
"1120101","111","3","2485","兆赫電子股份有限公司","通信網路業","-0.05","新台幣                 10.0000元","4621694.00","-272468.00","238951.00","-58188.00"
"1120101","111","3","2486","一詮精密工業股份有限公司","光電業","0.49","新台幣                 10.0000元","4041789.00","-26549.00","168709.00","103695.00"
"1120101","111","3","2488","漢平電子工業股份有限公司","其他電子業","3.10","新台幣                 10.0000元","2390591.00","237312.00","103200.00","246437.00"
"1120101","111","3","2489","瑞軒科技股份有限公司","光電業","-2.93","新台幣                 10.0000元","12782179.00","-54065.00","-2810423.00","-2334119.00"
"1120101","111","3","2491","吉祥全球實業股份有限公司","光電業","-4.86","新台幣                 10.0000元","-361087.00","-589740.00","-110230.00","-700025.00"
"1120101","111","3","2492","華新科技股份有限公司","電子零組件業","4.40","新台幣                 10.0000元","27794384.00","2111920.00","1736577.00","2868908.00"
"1120101","111","3","2493","揚博科技股份有限公司","電子零組件業","3.86","新台幣                 10.0000元","2586688.00","555517.00","7982.00","442273.00"
"1120101","111","3","2495","普安科技股份有限公司","電腦及週邊設備業","0.52","新台幣                 10.0000元","990871.00","113932.00","49344.00","143521.00"
"1120101","111","3","2496","卓越成功股份有限公司","其他","3.11","新台幣                 10.0000元","510305.00","70772.00","3058.00","59303.00"
"1120101","111","3","2497","怡利電子工業股份有限公司","汽車工業","2.23","新台幣                 10.0000元","2468798.00","177171.00","196301.00","265936.00"
"1120101","111","3","2498","宏達國際電子股份有限公司","通信網路業","-3.01","新台幣                 10.0000元","3193332.00","-3300290.00","812252.00","-2486421.00"
"1120101","111","3","2501","國泰建設股份有限公司","建材營造","0.10","新台幣                 10.0000元","7974081.00","265463.00","16243.00","191762.00"
"1120101","111","3","2504","國產建材實業股份有限公司","建材營造","2.94","新台幣                 10.0000元","15509144.00","2389614.00","1815924.00","3537249.00"
"1120101","111","3","2505","國揚實業股份有限公司","建材營造","1.46","新台幣                 10.0000元","3579016.00","427681.00","177969.00","556001.00"
"1120101","111","3","2506","太平洋建設股份有限公司","建材營造","2.08","新台幣                 10.0000元","653954.00","897651.00","98246.00","885999.00"
"1120101","111","3","2509","全坤建設開發股份有限公司","建材營造","-0.44","新台幣                 10.0000元","150689.00","-56740.00","-40302.00","-97042.00"
"1120101","111","3","2511","太子建設開發股份有限公司","建材營造","0.65","新台幣                 10.0000元","10411794.00","1732427.00","-420537.00","1026333.00"
"1120101","111","3","2514","龍邦國際興業股份有限公司","其他","0.75","新台幣                 10.0000元","6606675.00","222052.00","123377.00","277080.00"
"1120101","111","3","2515","中華工程股份有限公司","建材營造","0.38","新台幣                 10.0000元","10586347.00","338492.00","374061.00","579831.00"
"1120101","111","3","2516","新亞建設開發股份有限公司","建材營造","-1.48","新台幣                 10.0000元","4795410.00","-314250.00","-21679.00","-335929.00"
"1120101","111","3","2520","冠德建設股份有限公司","建材營造","2.95","新台幣                 10.0000元","14120697.00","2701405.00","-150378.00","2036213.00"
"1120101","111","3","2524","京城建設股份有限公司","建材營造","1.18","新台幣                 10.0000元","2277776.00","705668.00","-159656.00","438388.00"
"1120101","111","3","2527","宏璟建設股份有限公司","建材營造","1.53","新台幣                 10.0000元","1293750.00","228570.00","238721.00","386333.00"
"1120101","111","3","2528","皇普建設股份有限公司","建材營造","0.45","新台幣                 10.0000元","1136482.00","213723.00","-10227.00","167233.00"
"1120101","111","3","2530","大華建設股份有限公司","建材營造","0.11","新台幣                 10.0000元","655169.00","80822.00","6169.00","81960.00"
"1120101","111","3","2534","宏盛建設股份有限公司","建材營造","1.86","新台幣                 10.0000元","3227909.00","990608.00","-67826.00","881150.00"
"1120101","111","3","2535","達欣工程股份有限公司","建材營造","2.43","新台幣                 10.0000元","12716462.00","1364063.00","-318510.00","772962.00"
"1120101","111","3","2536","宏普建設股份有限公司","建材營造","0.10","新台幣                 10.0000元","648265.00","294289.00","-182558.00","26264.00"
"1120101","111","3","2537","聯上開發股份有限公司","建材營造","0.37","新台幣                 10.0000元","1616653.00","251351.00","-90733.00","111966.00"
"1120101","111","3","2538","基泰建設股份有限公司","建材營造","0.68","新台幣                 10.0000元","275849.00","45429.00","292728.00","329630.00"
"1120101","111","3","2539","櫻花建設股份有限公司","建材營造","2.09","新台幣                 10.0000元","6263951.00","1953098.00","-10939.00","1532182.00"
"1120101","111","3","2540","愛山林建設開發股份有限公司","建材營造","0.57","新台幣                 10.0000元","3290861.00","306093.00","-81105.00","150745.00"
"1120101","111","3","2542","興富發建設股份有限公司","建材營造","0.82","新台幣                 10.0000元","12206415.00","2103852.00","-537288.00","1319506.00"
"1120101","111","3","2543","皇昌營造股份有限公司","建材營造","0.83","新台幣                 10.0000元","6065355.00","265277.00","-44237.00","212804.00"
"1120101","111","3","2545","皇翔建設股份有限公司","建材營造","5.28","新台幣                 10.0000元","5817465.00","1754397.00","32015.00","1731863.00"
"1120101","111","3","2546","根基營造股份有限公司","建材營造","4.80","新台幣                 10.0000元","8809415.00","695202.00","24985.00","560213.00"
"1120101","111","3","2547","日勝生活科技股份有限公司","建材營造","0.04","新台幣                 10.0000元","4142980.00","686362.00","-486662.00","45503.00"
